"location","count","latitude","longitude"
5227638,1,35.44951,-97.3967
5374271,1,38.62727,-90.19789
5370418,1,39.96054,-4.83319
5219468,2,45.46302,-91.10404
5206922,2,29.57134,-98.14029
5301930,1,47.38093,-122.23484
5282539,1,44.55088,8.34027
5270421,1,36.85245,-121.4016
5242695,1,49.618,9.17785
5189444,13,38.83039,-77.19637
5202040,20,36.70983,-81.97735
5232481,5,35.86841,-92.11765
5240447,4,40.78788,-74.38821
5190212,22,40.89366,-83.65021
5272858,6,37.75259,-83.06878
5234553,3,37.08911,-122.08635
5275574,1,37.24669,-103.35216
5215128,29,39.80832,-104.93387
5214543,2,45.43385,-94.63972
5207352,1,62.22655,-6.58901
5220777,9,43.65198,-72.9278
5253655,1,37.77493,-122.41942
5255127,1,55.07304,8.87214
5246822,1,42.44337,-85.01805
5243683,3,41.12648,-73.71402
5197018,31,40.92538,-74.27654
5231398,5,40.41733,-74.06208
5296174,1,49.68091,1.04649
5227384,1,47.35515,8.44256
5210818,27,39.04167,-94.72024
5228762,1,43.3134,-6.09978
5374885,7,37.0945,-88.0803
5208128,11,43.58397,-71.20729
5272464,2,43.50891,16.43915
5231982,11,48.38704,3.65306
5502299,1,40.86232,-73.63374
5228927,4,44.88976,-73.43597
5205325,3,44.2162,0.63287
5260625,7,45.18885,-93.55301
5424042,4,33.65623,-83.71823
5302863,3,29.28164,-82.43788
5220459,3,43.01279,-88.58816
5291006,3,51.71927,-1.97145
5200383,16,41.82392,-87.85173
5189245,11,34.18479,-101.70684
5271975,1,42.30204,-70.90782
5263794,1,37.80724,-98.42674
5260686,1,-27.48333,153.25
5242231,15,30.35862,-103.66206
5218551,4,-33.01529,27.91162
5304155,2,40.45944,-96.51002
5209481,43,42.00288,-71.51478
5219274,8,30.92519,-88.59002
5375992,1,40.17396,-80.24617
5189259,1,42.97086,-82.42491
5188440,1,43.13295,-115.6912
5227228,1,47.41475,7.07638
5223688,8,31.25184,-89.83758
5268726,1,36.96745,-121.99802
5499978,1,47.31272,-93.38215
5278066,2,40.93198,-90.94709
5191015,28,41.82977,-86.25418
5267253,14,40.48753,-92.36935
5264035,1,50.9481,1.9511
5205995,1,63.096,21.61577
5205900,35,30.62798,-96.33441
5246126,1,26.64757,-80.43651
5229751,5,44.33529,-85.21505
6103659,1,45.54951,-68.19946
5211582,24,37.80923,-85.4669
5268040,2,37.56306,-101.78418
5229946,3,33.79344,-97.14307
5188706,77,24.55524,-81.78163
5262747,1,56.08481,12.31803
5242194,1,-17.39699,32.22677
5293625,22,49.05798,-122.25257
5229102,13,46.1351,-60.1831
5288301,1,30.65824,-98.44058
5373826,1,40.76289,-73.73225
5209805,1,34.69315,-91.31374
6103920,1,37.94103,-121.93579
5204640,1,-34.03637,151.08528
5200851,21,29.38385,-94.9027
5247582,1,36.82843,-82.47237
5252743,3,40.06979,-81.88235
5372055,3,39.32367,-83.69103
5226614,4,22.14982,-100.97916
5190473,1,48.04278,-98.33621
5232336,4,68.17009,20.54861
5190457,1,33.73679,-82.73931
5191035,1,35.59,-5.9
5533073,9,65,-18
5202744,26,42.20115,-85.58
5259420,4,40.20195,-100.62571
5251598,1,56.08333,14.65
5379195,2,45.79829,-89.1629
5284155,1,44.3206,7.61859
5228844,1,39.11794,-5.9396
5188600,56,37.30216,-120.48297
5484482,4,53.1235,18.00762
5208220,11,28.98276,-95.9694
5303747,2,39.02534,-84.41744
5294128,1,29.66939,-100.01229
5193643,2,30.69436,-88.04305
5269866,1,39.46443,-7.93449
5191810,8,42.03343,-70.95921
5220280,3,35.8483,-116.22641
5209338,1,46.8606,-68.01197
5254752,8,32.80485,-97.44502
5214125,1,-37.83333,144.96667
5207089,9,41.60565,-74.18404
5435596,2,43.00445,-88.37676
5371612,6,32.75791,-84.87493
5293963,1,-27.71137,153.2029
5241864,1,44.9748,-69.54372
5195593,1,38.33964,-122.7011
5272178,2,36.27614,-99.88276
5261850,6,31.85763,-103.09267
5283938,2,42.81314,-71.91563
5207090,3,43.53425,-70.90978
5237689,19,40.76565,-73.01511
5245872,10,40.78121,-73.24623
5388882,5,39.35788,-78.04
5287083,1,56.19442,10.6821
5262609,1,41.99063,-76.13076
5217333,2,36.86728,-91.91432
5205542,1,41.4995,-81.69541
5231688,1,-29.94937,114.9821
5210198,2,-8.01175,-34.95291
5234376,3,47.60621,-122.33207
5298772,4,31.97102,34.78939
5190209,2,42.26764,-94.73105
5213232,6,35.00815,-90.78983
5190965,28,43.45535,-76.5105
5268751,2,39.87145,-77.21789
5371336,1,39.59945,-97.86115
5272171,1,49.59833,1.99472
5249013,2,37.41588,-87.26555
5211774,8,43.97174,-70.60923
5223987,7,45.21668,-85.01394
5211791,9,40.13785,-79.8981
5270327,1,46.64333,5.4675
5247928,6,43.89913,-91.08125
5219321,3,41.89694,-92.27824
5231951,2,54.32681,-2.74757
5226538,1,48.96667,4.76667
5271795,11,32.45821,-83.73157
5263637,1,43.10729,141.54391
5230001,3,41.51894,-83.80383
5281932,1,-19.54826,-47.94144
5218465,2,36.21847,-80.94119
5281824,2,38.39028,-105.1186
5204169,1,39.73915,-104.9847
5278118,6,38.22257,-85.35523
5247878,2,46.47935,-116.25514
5205429,14,44.79302,-89.70318
5372484,2,30.33131,-92.49569
5245552,2,38.99917,-93.95356
5255880,6,35.23782,-106.60669
5191449,38,41.87871,-71.38256
5279089,1,40.99061,-112.11124
5240673,1,-33.38334,151.46671
5279256,1,49.18912,9.22527
5295326,4,40.42643,-90.79263
5269808,1,-3.62829,-39.5476
5265271,1,48.36444,-3.74472
5207495,29,36.59649,-82.18847
5224500,53,51.48,-3.18
5232593,1,55.37315,10.04131
5273630,1,39.12977,-89.81954
5211964,2,41.3242,-89.30675
5240764,6,42.73008,-73.70123
5210624,1,39.76838,-86.15804
5204275,1,37.6391,-120.99688
5232207,21,37.59577,-122.01913
5190613,66,41.78586,-88.14729
5229170,5,53.82159,-101.24488
5213684,1,25.8601,-81.38036
5288159,11,39.29038,-76.61219
5380671,1,33.74761,-116.97307
5254240,5,44.47749,-88.45066
5276001,12,32.53265,-93.50406
5484649,1,41.79601,20.90819
5470503,1,60.47369,25.08992
5217425,15,40.79065,-73.20178
5203483,7,26.27564,-80.08727
5239984,1,57.34957,12.89703
5285907,1,12.26875,-85.38205
5285296,1,44.0072,-97.69591
5372067,1,27.58614,-97.79916
5193679,1,49.27096,34.22513
5497320,1,43.22947,-83.19661
5256724,20,25.67927,-80.31727
5192329,54,39.40145,-83.18074
5286848,1,50.35357,7.57883
5201818,4,44.73401,-122.1498
5188457,765,39.75895,-84.19161
5282758,3,39.50956,-76.16412
5203110,2,32.94539,-99.80287
5216766,1,42.14285,-77.05469
5402756,1,43.775,-88.43883
5210712,13,30.46159,-87.31497
5199152,4,45.2025,5.83889
5299009,1,32.85283,-116.61585
5204095,4,53.41667,-1.25
6103530,1,29.99744,-98.09862
5193438,1,47.30416,3.7575
5374807,1,41.30341,-75.78658
5226132,1,34.4048,-103.20523
5235613,7,39.14045,-121.61691
5268470,1,35.43037,-94.2316
5224575,5,39.1417,-92.46268
5281288,4,45.1847,-88.47372
5402507,3,35.62265,-79.07835
5215316,3,43.35947,-83.88164
5285261,1,40.40692,-6.24636
5194559,25,47.44846,-122.29217
5205830,100,33.01984,-96.69889
5290792,1,50.81027,-0.50674
5257654,9,32.79644,-113.54103
5252806,1,4.94985,-75.95826
5237980,1,43.89645,-73.09984
5283788,2,47.30016,-117.97551
5197064,4,47.37707,-120.14395
5561587,1,33.037,-109.96536
5271883,1,46.19528,-0.67111
5294390,2,45.22234,-122.83926
5251349,3,3.4836,103.3996
5196742,1,30.08605,-94.10185
5286553,1,43.40735,5.05526
5245171,1,41.81465,-112.11606
