"location","count","latitude","longitude"
5559782,1,32.57986,-84.55076
5303380,4,40.76078,-111.89105
5188360,4,27.94752,-82.45843
5225255,4,-23.99306,-46.25639
5257051,4,41.80367,-80.05644
5254225,19,55.16667,-118.80271
5216514,2,46.81228,-71.21454
5508290,1,39.20201,-82.81378
5205312,12,43.08057,-88.2612
5240939,1,51.65147,-0.08497
5218002,1,53.33333,-3.08333
5407966,2,41.11142,-89.35648
5222926,22,44.79802,-93.5269
5382125,2,33.53865,-112.18599
5426012,2,39.34067,-75.87883
5418231,1,42.23336,-87.92591
5390896,1,-32.34288,-65.01396
5211610,1,44.77139,-0.61694
5495535,1,54.75,-2.01667
5189364,137,33.9526,-84.54993
5248823,2,40.06084,-95.60193
5221855,1,51.75742,11.46084
5238237,1,54.5,35.5
5230096,1,3.18917,-75.70361
5229207,3,43.8334,-72.63399
5223235,2,51.33333,3.33333
5188434,96,42.56297,-114.46087
5216233,1,47.21639,0.05694
5499697,1,40.96862,-97.49727
5209370,75,30.50826,-97.6789
5195203,1,58.14671,7.9956
5433640,2,40.8806,-85.16636
5244243,1,63.24964,24.44195
5224811,8,43.33451,-75.74796
5410647,2,35.22501,-112.48407
6104093,1,43.13196,-86.15478
5447550,1,42.21873,-123.27394
5507266,1,-15.8422,-70.0199
5297944,3,50.82838,-0.13947
5446321,3,54.48774,-0.61498
5206895,21,41.42265,-122.38613
5525007,1,30.98408,-92.05346
5271495,3,39.39091,-81.22678
5277616,4,33,66
5451354,1,35.99425,-94.1752
5209964,14,37.93576,-122.34775
5518428,1,37.87135,32.48464
5277854,4,41.36809,-89.46481
5522076,1,52.28333,-117.469
5249185,5,37.18817,-3.60667
5191255,8,37.92448,-95.39998
5241233,1,41.98133,13.03499
5398639,3,40.62483,-74.14848
5224412,11,34.26112,-116.84503
5217733,1,42.38867,-79.44116
5581597,1,49.14399,-122.9068
5385358,8,43.25612,-88.19398
5496649,1,43.38762,-0.89614
5302758,4,44.02802,-92.85464
5208038,4,39.93817,-75.27185
5190465,11,34.57732,-83.33239
5206417,15,40.86867,-82.31822
5535585,4,41.67283,-85.58026
5220108,1,48.82981,58.15042
5263025,4,32.22682,-95.2255
5242103,1,48.2082,16.37169
5208566,3,42.7208,-94.21524
5508182,1,35.60812,-96.82113
5291264,6,52.66667,-1
5235305,2,37.52744,-122.51331
5208346,13,40.55565,-75.98188
5429132,1,32.5993,-96.8875
5211247,2,33.41477,-111.90931
5293114,4,36.00147,-94.00825
6103300,2,40.43946,-93.2341
5282712,6,33.75927,-96.66944
5603229,1,36.23618,-90.05565
5193561,10,38.52258,-82.71711
5208921,13,47.2501,-122.29373
5212675,1,47.48099,-118.25442
5234349,2,40.32896,-79.64115
5533471,1,40.02337,-92.49158
5224025,40,32.74477,-116.99892
5233447,2,66.47043,22.57928
5521963,1,38.91706,-77.00025
5222129,42,50.37153,-4.14305
5190499,8,42.03868,-78.34085
5205204,1,47.00016,8.01427
5261577,3,40.04897,-78.64419
5519467,1,39.64971,-107.06033
5203988,4,40.6575,-96.65807
5378411,3,9.92829,-84.05074
5468382,3,38.94174,-83.65075
5241061,4,32.05099,-84.79909
5250615,11,27.8628,-82.84844
5414126,2,44.30012,-78.31623
5199366,4,52,-56
6104180,1,41.095,-96.4314
5389277,8,37.45172,-89.26814
5228250,3,42.48915,-95.545
5206478,1,38.74666,-105.17831
6103433,1,40.16329,-110.40293
5374911,2,41.00364,-88.52534
5250080,6,39.29228,-84.618
5440013,2,34.71834,-114.48718
5388875,3,44.9033,-94.19553
5541362,1,44.38607,-95.8903
6103367,1,41.7956,-86.08084
5288058,2,39.75887,-104.42746
6103014,1,41.26478,-81.51317
5193723,12,33.21837,-117.0342
5190221,1,38.13783,-89.23008
5196055,5,46.84038,-123.23237
5509778,1,44.61875,17.14351
5235493,12,42.13982,-71.51617
5372429,5,26.62535,-81.6248
5497083,1,-32.81667,-56.51667
5222226,4,40.11594,-74.78627
5384881,1,45.46427,9.18951
5299871,4,39.37156,-121.20607
5289344,21,27.8753,-82.85122
6103586,1,36.29606,-119.14205
6103649,1,34.61249,-117.82812
5255646,7,50.61448,-2.45991
5237569,1,41.52005,-81.48873
5191485,5,41.18142,-91.18543
5190314,144,38.25445,-104.60914
5416019,1,39.27594,-77.53915
5390440,1,53.21402,-1.15091
5192668,1,49.74006,3.7706
5231141,3,45.1872,5.7266
5191279,1,39.08921,-89.39064
5205898,17,30.09299,-93.73655
5293457,2,56.60168,-169.54639
5242452,8,29.21664,-82.05759
5442287,1,43.23579,-108.11037
5196437,32,33.93196,-117.94617
5497463,1,43.57167,-0.92944
6051504,1,36.036,-78.87632
5541785,1,29.62023,-95.00993
5208431,1,47.60621,-122.33207
5209101,18,39.7665,-75.14434
5515765,1,41.92454,-74.06125
5212057,1,35.38329,-119.10983
5211312,15,42.46059,-83.65161
